VehicleId,LoadCap,FuelCap,RouteSequence,Municipalities,DemandSatisfied,InitLoad,InitFuel,RefuelStops,RefuelAmounts,Distance,Time,FuelCost,TotalCost
CAM001,80.0,1720,PTO - MUN07 - EST19 - EST23 - MUN09 - MUN13 - EST18 - EST16 - MUN05 - EST17 - EST24 - MUN06 - EST27 - PTO,5,17 - 10 - 7 - 18 - 15,67.0,1720,0,0,2057.5,41.15,0,11727954
CAM002,60.0,1510,PTO - MUN03 - EST21 - MUN11 - PTO,2,25 - 9,34.0,1510,0,0,516.1,10.32,0,2941758
CAM003,50.0,1300,PTO - MUN14 - EST26 - MUN08 - MUN15 - MUN10 - PTO,4,8 - 12 - 10 - 11,41.0,1300,0,0,577.2,11.54,0,3290166
CAM004,40.0,1100,PTO - MUN12 - MUN04 - EST22 - PTO,2,10 - 22,32.0,1100,0,0,690.9,13.82,0,3938180
CAM005,30.0,870,PTO - MUN02 - PTO,1,30,30.0,870,0,0,19.4,0.39,0,110781
