VehicleId,LoadCap,FuelCap,RouteSequence,Municipalities,DemandSatisfied,InitLoad,InitFuel,RefuelStops,RefuelAmounts,Distance,Time,FuelCost,TotalCost
CAM001,80.0,1720,PTO - EST25 - MUN10 - MUN04 - EST22 - MUN12 - EST26 - MUN15 - MUN08 - MUN07 - EST19 - EST27 - PTO,6,11 - 16 - 5 - 10 - 17.6 - 17.6,77.2,1720,0,0,1554.9,31.1,0,8862886
CAM002,60.0,1510,PTO - MUN02 - PTO,1,16,16.0,1510,0,0,19.4,0.39,0,110781
CAM003,50.0,1300,PTO - EST23 - MUN06 - MUN13 - MUN05 - EST17 - EST18 - EST16 - EST24 - EST27 - MUN14 - PTO,4,15 - 7 - 18 - 5,45.0,1300,0,0,2245.1,44.9,0,12797268
CAM004,40.0,1500,PTO - EST20 - PTO,0,,0.0,1500,0,0,33.0,0.66,0,188258
CAM005,30.0,870,PTO - MUN03 - EST21 - MUN11 - PTO,2,18 - 9,27.0,870,0,0,516.1,10.32,0,2941758
CAM006,10.0,1200,PTO - EST27 - MUN09 - EST18 - EST16 - EST17 - EST24 - EST23 - PTO,1,10,10.0,1200,0,0,1605.2,32.1,0,9149880
